post_text,label
It's just over 2 years since I was diagnosed with anxiety and depression. Today I'm taking a moment to reflect on how far I've come since.,1
"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the A14...",1
Awake but tired. I need to sleep but my brain has other ideas...,1
SewHQ: Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! yay ,1
It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... movinghouse anxiety,1
Making packing lists is my new hobby... movinghouse,1
At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? movinghouse,1
Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,1
"Can't be bothered to cook, take away on the way lazy",1
itventsnews: ITV releases promo video for the final series of Downton Abbey ,1
"... also, I have too much stuff. Way, way too much movinghouse",1
I never want to put one of these together again lotharderthanitlooks ,1
Moving stuff is bloomin’ knackering... and there’s still loads to do... ,1
"Back at the house, moving stuff. It’s so peaceful here... I ️ ",1
Urgh. Anxiety. FFS where does it come from?! (Breathe...),1
"I have too much stuff. Way, way too much... Massive purge on the way.",1
Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,1
Packing and purging. Feels good ,1
In B&amp;Q looking at internal doors. Fun times ,1
"Time to get up. So many things to do, such a busy day ahead...",1
It's 6:20... do I get up or lie here a little longer with my cat buddy... ,1
There's nothing like cocktails and exhaustion to aid a good night's sleep...,1
Great night out with my favourite ladies. Much needed after the past few days. I love them so much ,1
Sat down on the sofa for a quick rest... an hour ago. Need to move.,1
How much do I want pizza right now...?,1
I will always love you. Peter Gabriel - In Your Eyes ,1
Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,1
Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,1
"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",1
Completed on my house. Got the keys. What a fab day! Whoop! ,1
"CPHighWycombe: CatsProtection Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk ",1
Big day today ,1
How lovely PandaStory ,1
SewHQ: The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects! ,1
That's good news at least ,1
Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... ,1
deliciousmag: On a budget? We have 21 recipes for £1.50 or less a head and they don't compromise on flavour. htt…,1
RSPCA_official: RT ncolondon: RSPCA_official Please RT for us.... 80yr old dog owner getting very distraught over his lost dog ,1
"BBCCambs: Flying displays by vintage jets ""significantly restricted"" until further notice by CAA - limited to fly pasts.",1
"craftsbeautiful: Happy Monday, crafters! If you need a bit of a pick-me-up to get you started, check this out: …",1
They don't sleep like this now ... catsoftwitter ,1
Truly so awful ,1
I don't understand this. What does it achieve?!Palmyra's Baalshamin temple 'blown up by IS' ,1
"designtaxi: Cigarettes made out of green tea leaves, claim to help you quit smoking ",1
Not having to get up in the morning for two whole weeks. Bliss. ,1
I feel like an invisible hand is trying to remove both my eyeballs with a spoon ,1
designtaxi: ‘Hair tapestry’ is the latest hair trend ,1
It feels like shoreham coverage and alt media has now gone beyond news to 'ghoulish'...,1
"ThomasEvansUKIP it's The Mail, it's entirely their MO. Mail Online is barely 'news' ",1
OffensiveBanter it's so awful ,1
The awfulness of it continues. Heartbreaking ,1
Lazy afternoon snooze with my kitty cat... lazysunday,1
The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends shoreham,1
Pouring with rain in cambridge. That sun didn't last long... ,1
brightonargus: Friends of WorthingUtdFC footballers pay tribute to to their teammates - ,1
I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff lazysunday,1
craftsbeautiful: Comfy this Sunday morning? Our cushion blog post will only make you more snug! ,1
brightonargus: A27 diversion route likely to remain in place all day after Shoreham air crash - ,1
"JackDineen1 new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep x",1
I hope the pilot pulls through. There's been enough death today at shoreham ,1
Sarah_Booker yorkshireguy I keep seeing comments that the pilot was saved. If true I find that quite incredible,1
"Sarah_Booker yorkshireguy urgh, awful ",1
"yorkshireguy Sarah_Booker I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",1
"Sarah_Booker *this*. Dear god! Horrific image Awful, awful, awful ",1
BBCBreaking: 7 people confirmed dead after plane crashed into several vehicles on A27 during Shoreham Airshow ,1
Sarah_Booker BBC reporting 7 fatalities so far Just so awful,1
Toaster shopping is needlessly confusing...,1
"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking... firstworldproblems",1
BBCSussex: This very sad footage has been released of the Shoreham air crash. The content is obviously distressing. ,1
Sarah_Booker I had the same thought ,1
"What an awful, awful tragedy. Let's hope the casualties are few ",1
So true ,1
Sofa shopping! Whoop! ,1
My cat is always overjoyed to see me every morning. That kind of love is priceless ,1
jessgrace_ beach trip ,1
jessgrace_ are you going to go?,1
"It's dusk, but warm. Cool ",1
MrBenBrown awesome motovlogs! Your commentary is great fun. Now I want a bike... ,1
JasonLea69: dolphins spotted heading east from Hove keep a look out! brightonargus,1
Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon ,1
CambridgeNewsUK: Man taken to hospital after suffering arm wrestling injury on Mill Road ,1
EONhelp you too! ️,1
"EONhelp hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",1
"EONhelp re my last tweet, don't worry, spoke to v helpful young lady. All sorted. Thx!",1
"EONhelp hi, I'm trying to find a number to phone for a new account but can't find it. Please can you advise. Thx.",1
Fragile egos and umbrage taken in a blink. I need a break.,1
DT_Kenilworth: Our dogs are desperate for treats!Ben and his friends would be so grateful for any donations. DogsTrust ,1
Two weeks off. I can't f'ing wait! I need to get away from work now.,1
homemade: 15 things you didn't know you could do with Malteasers and they are all epic ,1
Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but lifeischanging,1
This is the last time I'm going to take this bus to work. Feels weird.,1
... I need to care less but don't want to have a hard heart ,1
I don't know why I allow myself to feel such disappointment in someone even after all this time...,1
Last day in the office for 2 weeks. Whoop! ,1
Horrible muggy weather cambridge weather,1
"Not, however, going to miss living on a road where people drive like lunatics...",1
Walking home... occurs to me that 'walking' home won't be possible soon. I will miss that...,1
Wondering if this will turn out to be Raymond... ,1
I’ve decided that my life NEEDS a pink cuddler chair(bed) ,1
I love this story ,1
Good luck to all the kids getting their GCSE results today resultsday,1
No people &amp; no traffic... where is everyone? quietcambridge,1
Can faffing be considered a hobby? I'm very good at that...,1
"This, absolutely this ",1
All I can think about right now is sofa shopping. Excited! lol ,1
I suppose I should get up...,1
Need to sleep but it's been an exciting day and I'm still buzzed ,1
Mini hog earlier this evening. One of two that have moved in ,1
"designtaxi: The best times to post on Facebook, Instagram, Twitter ",1
"Another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent ",1
This is so me ,1
"I miss you, every single day. I don't think you know that. Still, it's true ",1
There's either an eyelash or an elephant in my eye. Either way the net result is the same... pain,1
"Elephantopia: ELEPHANT FACT OF THE DAY: An elephant herd is considered one of the most closely knit societies of any animal,... ",1
"CeliaHammond my beautiful Spopie, adopted from CHAT in 2007. Loving the ️ last week blackcatappreciationday ",1
Nimmykins do you still use this account?,1
Paulamanning6 RSPCA_official what a beauty!,1
Interesting reading... BBC News - Better diagnosis call for adults with ADHD ,1
"RSPCA_official this is my girl, Spopie blackcatappreciationday ",1
Cementing my status as ‘that crocheting weirdo’ in the staff cafe... ,1
Hear hear ,1
Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised...,1
It feels autumnal out all of a sudden... ,1
Made Jess a cake... ,1
CambridgeNewsUK: Community rallies behind former soldier who was seen begging at the Beehive Centre ,1
abigail_titmuss: 5yrs ago a puppy was abandoned in Ireland. DogsTrust took him to London. I adopted him. Today he swims in California …,1
I miss you every single day. Some days it feels like being gut-punched.,1
House smells of cake... ,1
Cotton granny square: pink and grey crochet grannysquare ,1
"I've had my little car a year today. Happy Birthday little car, still going strong ",1
A bad week calls for comfortfood ,1
I ️ Ely ely cambridgeshire ,1
Gorgeous day for a drive to Ely Ely Catherdral ,1
jessgrace_ I thought you said I could have him? ,1
Sarah_Booker it looks awful down there. I hope you're okay xx ,1
brightonargus: In pictures: Severe weather hits Sussex - ,1
Block 12: another traditional granny-square crochet crochetblanket afghan ,1
Hog time! hedgehog ,1
This ,1
"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me...",1
"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar ",1
richardbranson: Read this wonderful blog about elephant conservation in Zimbabwe: WorldElephantDay ,1
richardbranson: Read this wonderful blog about elephant conservation in Zimbabwe: WorldElephantDay ,1
"AstronautAbby: AstroLuca2013 RT astro_luca: Arriving in Queensland, we’re welcomed by a riveting, colorful nature Australia ",1
BBCCambs: Aboard the aquatic combines 'harvesting' weeds in Cambs waterways - dottymcl 07:50 ,1
"This, yep ",1
"Big hoggle, out for his supper tonight. He's a magical little beastie ",1
RSPCA_official: Marley &amp; Zena on DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv…,1
Protect_Wldlife: Indeed! ,1
Such a magical sky tonight. It changes in seconds nofilter ,1
Beautiful sky tonight nofilter ,1
A rare Tuesday treat for dinner comfortfood ,1
Bought today. Can't decide if this is super organised or waaay too early... ,1
"lilypebbles sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you x",1
Must remember this... ,1
